home_games,home_win_rate,home_draw_rate,home_loss_rate,home_points_per_game,home_goals_for_per_game,home_goals_against_per_game,home_goal_diff_per_game,home_home_goals_for_per_game,home_home_goals_against_per_game,home_away_goals_for_per_game,home_away_goals_against_per_game,home_recent_points_per_game,home_recent_goals_for,home_recent_goals_against,home_elo,away_games,away_win_rate,away_draw_rate,away_loss_rate,away_points_per_game,away_goals_for_per_game,away_goals_against_per_game,away_goal_diff_per_game,away_home_goals_for_per_game,away_home_goals_against_per_game,away_away_goals_for_per_game,away_away_goals_against_per_game,away_recent_points_per_game,away_recent_goals_for,away_recent_goals_against,away_elo,games_diff,points_per_game_diff,goal_diff_per_game_diff,recent_points_per_game_diff,elo_diff,h2h_games,h2h_home_win_rate,h2h_draw_rate,h2h_goal_diff_per_game,is_world_cup,is_knockout,is_neutral_site,competition,stage,match_id,match_datetime_utc,match_date,home_team,away_team,FTHG,FTAG,FTR,home_shots,away_shots,home_sot,away_sot,source
1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.1,2.0,2.0,1500.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,-2.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1480.222,0.0,1.0,2.0,0.1,19.77800000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48831,2002-06-08T06:30:00+00:00,2002-06-08,South Africa,Slovenia,1,0,H,12.0,5.0,6.0,1.0,espn
1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.3,2.0,0.0,1519.778,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1482.136,0.0,3.0,3.0,0.3,37.64200000000005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48832,2002-06-08T09:00:00+00:00,2002-06-08,Italy,Croatia,1,2,A,9.0,10.0,6.0,7.0,espn
1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.3,2.0,1.0,1517.864,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1480.222,0.0,3.0,3.0,0.3,37.64200000000005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48833,2002-06-08T11:30:00+00:00,2002-06-08,Brazil,China,4,0,H,8.0,5.0,7.0,3.0,espn
1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3,1.0,0.0,1517.864,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1480.222,0.0,3.0,3.0,0.3,37.64200000000005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48834,2002-06-09T06:30:00+00:00,2002-06-09,Mexico,Ecuador,2,1,H,12.0,7.0,7.0,4.0,espn
1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.3,2.0,0.0,1519.778,1.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1482.136,0.0,3.0,3.0,0.3,37.64200000000005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48835,2002-06-09T09:00:00+00:00,2002-06-09,Costa Rica,Türkiye,1,1,D,11.0,8.0,3.0,2.0,espn
1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.1,2.0,2.0,1500.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.3,2.0,0.0,1519.778,0.0,-2.0,-2.0,-0.19999999999999998,-19.77800000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48836,2002-06-09T11:30:00+00:00,2002-06-09,Japan,Russia,1,0,H,10.0,15.0,2.0,4.0,espn
1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.3,2.0,0.0,1519.778,1.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0.3,3.0,2.0,1517.864,0.0,0.0,1.0,0.0,1.9139999999999873,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48837,2002-06-10T06:30:00+00:00,2002-06-10,South Korea,United States,1,1,D,18.0,6.0,9.0,5.0,espn
1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1480.222,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.1,2.0,2.0,1500.0,0.0,-1.0,-2.0,-0.1,-19.77800000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48838,2002-06-10T09:00:00+00:00,2002-06-10,Tunisia,Belgium,1,1,D,9.0,9.0,3.0,3.0,espn
1.0,0.0,0.0,1.0,0.0,2.0,3.0,-1.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,1482.136,1.0,0.0,0.0,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1480.222,0.0,0.0,1.0,0.0,1.9139999999999873,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48839,2002-06-10T11:30:00+00:00,2002-06-10,Portugal,Poland,4,0,H,15.0,16.0,8.0,4.0,espn
2.0,0.5,0.5,0.0,2.0,1.5,1.0,0.5,1.0,1.0,2.0,1.0,0.4,1.5,1.0,1517.864,2.0,0.0,0.5,0.5,0.5,0.0,0.5,-0.5,0.0,0.5,0.0,0.0,0.1,0.0,0.5,1482.136,0.0,1.5,1.0,0.30000000000000004,35.728000000000065,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48840,2002-06-11T06:30:00+00:00,2002-06-11,Denmark,France,2,0,H,4.0,12.0,2.0,7.0,espn
